,greedy,classic
14730,64167.54784443247,60530.09860588632
14731,55753.613340387,53528.28351666649
14732,50062.306970472586,48561.95727004316
14733,48788.81624539159,47529.85516625747
14734,51739.303372513576,50258.36356868944
14735,48570.62600035588,47432.061148277244
14736,47536.025933632605,46615.64238644178
14737,47281.11359641912,46405.60174195362
14738,47350.072640505256,46609.904507304964
14739,46704.093462569734,45993.26794101424
14740,44587.41109308091,44059.74712885399
14741,42031.86750357368,41741.4894890246
14742,41010.36246370164,40845.330172254224
14743,34967.515964423445,35331.760922386195
14744,34967.515964423445,35331.760922386195
14745,36185.52699002336,36463.205352914956
14746,36346.44527876099,36610.590658637324
14747,37239.5424661436,37418.89524413186
14748,37104.17065171663,37299.41158456112
14749,37355.70640320972,37522.97216125486
14750,37779.47771068622,37884.11964368644
14751,37449.96223206513,37597.361773418896
14752,36923.013505908624,37128.76361518278
14753,36536.581353449445,36763.697440169926
14754,37370.25877097856,37512.204074734764
14755,36518.77321052835,36714.64355584822
14756,36877.45821078022,37008.97000426918
14757,36815.72099121059,36939.10124213184
14758,38499.036607874084,38399.93050416618
14759,38901.81332227958,38754.25650204405
14760,39818.0835906945,39574.62488357395
14761,40449.08328942522,40140.68091905167
14762,38252.91752030277,38235.11431712749
14763,38754.828336151164,38687.875596187085
14764,37807.528329599234,37851.63425195573
14765,37652.60721132475,37705.17967501406
14766,38249.31181696419,38248.15100391854
14767,38832.103047230885,38796.96777835582
14768,39005.12283989728,38940.27548274768
14769,38294.290216721616,38326.833154329215
14770,37861.231200234055,37946.18089749292
14771,37766.77585707093,37888.05785932499
14772,37572.40143065673,37705.0090096875
14773,38037.73730624534,38122.539351157466
14774,38587.73779883281,38619.062562714695
14775,38878.20675009808,38901.054634867854
14776,34967.515964423445,35331.760922386195
14777,34967.515964423445,35331.760922386195
14778,34967.515964423445,35331.760922386195
14779,36231.594078056565,36504.10674167088
14780,38002.00203773607,38118.69388180172
14781,37301.55309287346,37481.084114730525
14782,38186.4324237678,38284.59023208553
